-1680, 3908, 16300, 837, 846, -415
-1756, 3792, 16136, 1014, 1009, -316
-1616, 3984, 15560, 954, 1133, -232
-1408, 3940, 15576, 587, 1247, -225
-1492, 3784, 15636, 482, 1041, -287
-1904, 3940, 15844, 323, 581, -210
-1576, 3936, 16176, 398, 319, -166
-1512, 3984, 16568, 565, 371, -233
-1752, 3928, 16608, 789, 719, -176
-2208, 4036, 16180, 862, 1114, 60
-1808, 4016, 15964, 833, 1447, 212
-1528, 4060, 15716, 666, 1543, 257
-1416, 3912, 16056, 609, 1446, 197
-1392, 4008, 15824, 601, 1133, 114
-1824, 3984, 15908, 518, 722, 85
-1652, 3932, 15948, 604, 609, 163
-1544, 3984, 15892, 570, 667, 167
-1688, 3916, 15824, 428, 732, 200
-1780, 4024, 15952, 414, 816, 215
