-1104, -996, 16812, 327, 378, 104
-928, -1156, 16460, 332, 381, 135
-864, -1056, 16632, 217, 311, 178
-652, -976, 16748, 254, 318, 163
-692, -1084, 16580, 283, 379, 106
-588, -1016, 16516, 212, 360, 73
-636, -1096, 16632, 175, 356, 19
-388, -1040, 16532, 183, 370, -42
-604, -1116, 16412, 71, 260, -138
-668, -1076, 16592, 45, 60, -164
-808, -1288, 16772, 4, -42, -187
-960, -1080, 17104, 51, -109, -162
-924, -1076, 17128, 209, 90, -124
-980, -1080, 17088, 286, 247, -107
-892, -980, 17176, 330, 314, 27
-676, -1012, 17256, 436, 363, 1
-812, -868, 17176, 476, 282, 14
-720, -956, 17348, 567, 313, 33
-572, -880, 17084, 547, 406, 21
-696, -932, 17380, 449, 347, 37
-784, -880, 17556, 510, 312, 69
-984, -676, 17852, 526, -23, 66
-748, -592, 18432, 706, -225, 104
-1084, -408, 18716, 895, -269, 182
-1240, -348, 19464, 1087, -291, 269
-1592, 20, 20984, 1445, -389, 473
-1196, 48, 21936, 2593, 49, 705
-408, -176, 21768, 3648, 911, 864
312, -104, 20804, 3901, 1408, 700
232, -100, 21552, 4248, 1223, 262
-188, -36, 21012, 4997, 1017, 241
552, 112, 20536, 5105, 123, -19
392, 136, 20764, 5221, -166, -252
-528, 488, 20500, 5306, -951, -430
-124, 380, 21204, 5687, -1470, -453
-76, 576, 21356, 6020, -1539, -612
-960, 892, 21836, 6239, -2123, -527
-1060, 904, 23128, 7051, -2361, -202
-712, 1036, 23496, 8031, -2447, -44
-484, 948, 23960, 8950, -2391, -62
-344, 984, 23680, 10003, -1952, -209
-772, 788, 23524, 10937, -1412, -143
-1180, 812, 22808, 11662, -1044, 166
-500, 876, 22592, 12245, -1268, 423
-628, 948, 22676, 12897, -1747, 636
-276, 944, 22784, 13243, -2352, 796
456, 920, 22864, 14185, -2833, 671
952, 844, 23320, 14880, -2977, 327
1232, 1028, 23636, 15871, -2915, -2
1776, 1216, 23612, 16910, -2796, -492
1140, 1056, 23608, 18050, -3045, -793
1340, 1276, 22888, 19161, -3369, -1181
828, 960, 22428, 19811, -4175, -1467
668, 1136, 22320, 20597, -4555, -1354
860, 1212, 21804, 21240, -4843, -1397
1336, 1424, 22048, 21780, -4850, -1696
1584, 1600, 22540, 22709, -4477, -2104
1332, 1640, 22688, 24009, -4127, -2588
896, 1600, 22152, 25300, -3737, -2808
948, 1876, 21904, 26457, -3749, -3031
